"id","slug","title","difficulty","content"
"1849","splitting-a-string-into-descending-consecutive-values","Splitting a String Into Descending Consecutive Values","Medium","You are given a string `s` that consists of only digits._x000D_
_x000D_
Check if we can split `s` into **two or more non-empty substrings** such that the **numerical values** of the substrings are in **descending order** and the **difference** between numerical values of every two **adjacent** **substrings** is equal to `1`._x000D_
_x000D_
*   For example, the string `s = ""0090089 ""` can be split into `[ ""0090 "", ""089 ""]` with numerical values `[90,89]`. The values are in descending order and adjacent values differ by `1`, so this way is valid._x000D_
*   Another example, the string `s = ""001 ""` can be split into `[ ""0 "", ""01 ""]`, `[ ""00 "", ""1 ""]`, or `[ ""0 "", ""0 "", ""1 ""]`. However all the ways are invalid because they have numerical values `[0,1]`, `[0,1]`, and `[0,0,1]` respectively, all of which are not in descending order._x000D_
_x000D_
Return `true` _if it is possible to split_ `s`​​​​​​ _as described above__, or_ `false` _otherwise.__x000D_
_x000D_
A **substring** is a contiguous sequence of characters in a string._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""1234 ""_x000D_
**Output:** false_x000D_
**Explanation:** There is no valid way to split s._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""050043 ""_x000D_
**Output:** true_x000D_
**Explanation:** s can be split into \[ ""05 "",  ""004 "",  ""3 ""\] with numerical values \[5,4,3\]._x000D_
The values are in descending order with adjacent values differing by 1._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""9080701 ""_x000D_
**Output:** false_x000D_
**Explanation:** There is no valid way to split s._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 20`_x000D_
*   `s` only consists of digits."
"1850","minimum-adjacent-swaps-to-reach-the-kth-smallest-number","Minimum Adjacent Swaps to Reach the Kth Smallest Number","Medium","You are given a string `num`, representing a large integer, and an integer `k`._x000D_
_x000D_
We call some integer **wonderful** if it is a **permutation** of the digits in `num` and is **greater in value** than `num`. There can be many wonderful integers. However, we only care about the **smallest-valued** ones._x000D_
_x000D_
*   For example, when `num = ""5489355142 ""`:_x000D_
    *   The 1st smallest wonderful integer is `""5489355214 ""`._x000D_
    *   The 2nd smallest wonderful integer is `""5489355241 ""`._x000D_
    *   The 3rd smallest wonderful integer is `""5489355412 ""`._x000D_
    *   The 4th smallest wonderful integer is `""5489355421 ""`._x000D_
_x000D_
Return _the **minimum number of adjacent digit swaps** that needs to be applied to_ `num` _to reach the_ `kth` _**smallest wonderful** integer_._x000D_
_x000D_
The tests are generated in such a way that `kth` smallest wonderful integer exists._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** num =  ""5489355142 "", k = 4_x000D_
**Output:** 2_x000D_
**Explanation:** The 4th smallest wonderful number is  ""5489355421 "". To get this number:_x000D_
- Swap index 7 with index 8:  ""5489355142 "" ->  ""5489355412 ""_x000D_
- Swap index 8 with index 9:  ""5489355412 "" ->  ""5489355421 ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** num =  ""11112 "", k = 4_x000D_
**Output:** 4_x000D_
**Explanation:** The 4th smallest wonderful number is  ""21111 "". To get this number:_x000D_
- Swap index 3 with index 4:  ""11112 "" ->  ""11121 ""_x000D_
- Swap index 2 with index 3:  ""11121 "" ->  ""11211 ""_x000D_
- Swap index 1 with index 2:  ""11211 "" ->  ""12111 ""_x000D_
- Swap index 0 with index 1:  ""12111 "" ->  ""21111 ""_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** num =  ""00123 "", k = 1_x000D_
**Output:** 1_x000D_
**Explanation:** The 1st smallest wonderful number is  ""00132 "". To get this number:_x000D_
- Swap index 3 with index 4:  ""00123 "" ->  ""00132 ""_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= num.length <= 1000`_x000D_
*   `1 <= k <= 1000`_x000D_
*   `num` only consists of digits."
"1851","minimum-interval-to-include-each-query","Minimum Interval to Include Each Query","Hard","You are given a 2D integer array `intervals`, where `intervals[i] = [lefti, righti]` describes the `ith` interval starting at `lefti` and ending at `righti` **(inclusive)**. The **size** of an interval is defined as the number of integers it contains, or more formally `righti - lefti + 1`._x000D_
_x000D_
You are also given an integer array `queries`. The answer to the `jth` query is the **size of the smallest interval** `i` such that `lefti <= queries[j] <= righti`. If no such interval exists, the answer is `-1`._x000D_
_x000D_
Return _an array containing the answers to the queries_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** intervals = \[\[1,4\],\[2,4\],\[3,6\],\[4,4\]\], queries = \[2,3,4,5\]_x000D_
**Output:** \[3,3,1,4\]_x000D_
**Explanation:** The queries are processed as follows:_x000D_
- Query = 2: The interval \[2,4\] is the smallest interval containing 2. The answer is 4 - 2 + 1 = 3._x000D_
- Query = 3: The interval \[2,4\] is the smallest interval containing 3. The answer is 4 - 2 + 1 = 3._x000D_
- Query = 4: The interval \[4,4\] is the smallest interval containing 4. The answer is 4 - 4 + 1 = 1._x000D_
- Query = 5: The interval \[3,6\] is the smallest interval containing 5. The answer is 6 - 3 + 1 = 4._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** intervals = \[\[2,3\],\[2,5\],\[1,8\],\[20,25\]\], queries = \[2,19,5,22\]_x000D_
**Output:** \[2,-1,4,6\]_x000D_
**Explanation:** The queries are processed as follows:_x000D_
- Query = 2: The interval \[2,3\] is the smallest interval containing 2. The answer is 3 - 2 + 1 = 2._x000D_
- Query = 19: None of the intervals contain 19. The answer is -1._x000D_
- Query = 5: The interval \[2,5\] is the smallest interval containing 5. The answer is 5 - 2 + 1 = 4._x000D_
- Query = 22: The interval \[20,25\] is the smallest interval containing 22. The answer is 25 - 20 + 1 = 6._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= intervals.length <= 105`_x000D_
*   `1 <= queries.length <= 105`_x000D_
*   `intervals[i].length == 2`_x000D_
*   `1 <= lefti <= righti <= 107`_x000D_
*   `1 <= queries[j] <= 107`"
"1852","distinct-numbers-in-each-subarray","Distinct Numbers in Each Subarray","Medium","Given an integer array `nums` and an integer `k`, you are asked to construct the array `ans` of size `n-k+1` where `ans[i]` is the number of **distinct** numbers in the subarray `nums[i:i+k-1] = [nums[i], nums[i+1], ..., nums[i+k-1]]`._x000D_
_x000D_
Return _the array_ `ans`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,2,3,2,2,1,3\], k = 3_x000D_
**Output:** \[3,2,2,2,3\]_x000D_
**Explanation:** The number of distinct elements in each subarray goes as follows:_x000D_
- nums\[0:2\] = \[1,2,3\] so ans\[0\] = 3_x000D_
- nums\[1:3\] = \[2,3,2\] so ans\[1\] = 2_x000D_
- nums\[2:4\] = \[3,2,2\] so ans\[2\] = 2_x000D_
- nums\[3:5\] = \[2,2,1\] so ans\[3\] = 2_x000D_
- nums\[4:6\] = \[2,1,3\] so ans\[4\] = 3_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[1,1,1,1,2,3,4\], k = 4_x000D_
**Output:** \[1,2,3,4\]_x000D_
**Explanation:** The number of distinct elements in each subarray goes as follows:_x000D_
- nums\[0:3\] = \[1,1,1,1\] so ans\[0\] = 1_x000D_
- nums\[1:4\] = \[1,1,1,2\] so ans\[1\] = 2_x000D_
- nums\[2:5\] = \[1,1,2,3\] so ans\[2\] = 3_x000D_
- nums\[3:6\] = \[1,2,3,4\] so ans\[3\] = 4_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= k <= nums.length <= 105`_x000D_
*   `1 <= nums[i] <= 105`"
"1854","maximum-population-year","Maximum Population Year","Easy","You are given a 2D integer array `logs` where each `logs[i] = [birthi, deathi]` indicates the birth and death years of the `ith` person._x000D_
_x000D_
The **population** of some year `x` is the number of people alive during that year. The `ith` person is counted in year `x`'s population if `x` is in the **inclusive** range `[birthi, deathi - 1]`. Note that the person is **not** counted in the year that they die._x000D_
_x000D_
Return _the **earliest** year with the **maximum population**_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** logs = \[\[1993,1999\],\[2000,2010\]\]_x000D_
**Output:** 1993_x000D_
**Explanation:** The maximum population is 1, and 1993 is the earliest year with this population._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** logs = \[\[1950,1961\],\[1960,1971\],\[1970,1981\]\]_x000D_
**Output:** 1960_x000D_
**Explanation:** _x000D_
The maximum population is 2, and it had happened in years 1960 and 1970._x000D_
The earlier year between them is 1960._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= logs.length <= 100`_x000D_
*   `1950 <= birthi < deathi <= 2050`"
"1855","maximum-distance-between-a-pair-of-values","Maximum Distance Between a Pair of Values","Medium","You are given two **non-increasing 0-indexed** integer arrays `nums1`​​​​​​ and `nums2`​​​​​​._x000D_
_x000D_
A pair of indices `(i, j)`, where `0 <= i < nums1.length` and `0 <= j < nums2.length`, is **valid** if both `i <= j` and `nums1[i] <= nums2[j]`. The **distance** of the pair is `j - i`​​​​._x000D_
_x000D_
Return _the **maximum distance** of any **valid** pair_ `(i, j)`_. If there are no valid pairs, return_ `0`._x000D_
_x000D_
An array `arr` is **non-increasing** if `arr[i-1] >= arr[i]` for every `1 <= i < arr.length`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums1 = \[55,30,5,4,2\], nums2 = \[100,20,10,10,5\]_x000D_
**Output:** 2_x000D_
**Explanation:** The valid pairs are (0,0), (2,2), (2,3), (2,4), (3,3), (3,4), and (4,4)._x000D_
The maximum distance is 2 with pair (2,4)._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums1 = \[2,2,2\], nums2 = \[10,10,1\]_x000D_
**Output:** 1_x000D_
**Explanation:** The valid pairs are (0,0), (0,1), and (1,1)._x000D_
The maximum distance is 1 with pair (0,1)._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums1 = \[30,29,19,5\], nums2 = \[25,25,25,25,25\]_x000D_
**Output:** 2_x000D_
**Explanation:** The valid pairs are (2,2), (2,3), (2,4), (3,3), and (3,4)._x000D_
The maximum distance is 2 with pair (2,4)._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums1.length, nums2.length <= 105`_x000D_
*   `1 <= nums1[i], nums2[j] <= 105`_x000D_
*   Both `nums1` and `nums2` are **non-increasing**."
"1856","maximum-subarray-min-product","Maximum Subarray Min-Product","Medium","The **min-product** of an array is equal to the **minimum value** in the array **multiplied by** the array's **sum**._x000D_
_x000D_
*   For example, the array `[3,2,5]` (minimum value is `2`) has a min-product of `2 * (3+2+5) = 2 * 10 = 20`._x000D_
_x000D_
Given an array of integers `nums`, return _the **maximum min-product** of any **non-empty subarray** of_ `nums`. Since the answer may be large, return it **modulo** `109 + 7`._x000D_
_x000D_
Note that the min-product should be maximized **before** performing the modulo operation. Testcases are generated such that the maximum min-product **without** modulo will fit in a **64-bit signed integer**._x000D_
_x000D_
A **subarray** is a **contiguous** part of an array._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,2,3,2\]_x000D_
**Output:** 14_x000D_
**Explanation:** The maximum min-product is achieved with the subarray \[2,3,2\] (minimum value is 2)._x000D_
2 \* (2+3+2) = 2 \* 7 = 14._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[2,3,3,1,2\]_x000D_
**Output:** 18_x000D_
**Explanation:** The maximum min-product is achieved with the subarray \[3,3\] (minimum value is 3)._x000D_
3 \* (3+3) = 3 \* 6 = 18._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[3,1,5,6,4,2\]_x000D_
**Output:** 60_x000D_
**Explanation:** The maximum min-product is achieved with the subarray \[5,6,4\] (minimum value is 4)._x000D_
4 \* (5+6+4) = 4 \* 15 = 60._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 105`_x000D_
*   `1 <= nums[i] <= 107`"
"1857","largest-color-value-in-a-directed-graph","Largest Color Value in a Directed Graph","Hard","There is a **directed graph** of `n` colored nodes and `m` edges. The nodes are numbered from `0` to `n - 1`._x000D_
_x000D_
You are given a string `colors` where `colors[i]` is a lowercase English letter representing the **color** of the `ith` node in this graph (**0-indexed**). You are also given a 2D array `edges` where `edges[j] = [aj, bj]` indicates that there is a **directed edge** from node `aj` to node `bj`._x000D_
_x000D_
A valid **path** in the graph is a sequence of nodes `x1 -> x2 -> x3 -> ... -> xk` such that there is a directed edge from `xi` to `xi+1` for every `1 <= i < k`. The **color value** of the path is the number of nodes that are colored the **most frequently** occurring color along that path._x000D_
_x000D_
Return _the **largest color value** of any valid path in the given graph, or_ `-1` _if the graph contains a cycle_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** colors =  ""abaca "", edges = \[\[0,1\],\[0,2\],\[2,3\],\[3,4\]\]_x000D_
**Output:** 3_x000D_
**Explanation:** The path 0 -> 2 -> 3 -> 4 contains 3 nodes that are colored ` ""a "" (red in the above image)`._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** colors =  ""a "", edges = \[\[0,0\]\]_x000D_
**Output:** -1_x000D_
**Explanation:** There is a cycle from 0 to 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `n == colors.length`_x000D_
*   `m == edges.length`_x000D_
*   `1 <= n <= 105`_x000D_
*   `0 <= m <= 105`_x000D_
*   `colors` consists of lowercase English letters._x000D_
*   `0 <= aj, bj < n`"
"1858","longest-word-with-all-prefixes","Longest Word With All Prefixes","Medium","Given an array of strings `words`, find the **longest** string in `words` such that **every prefix** of it is also in `words`._x000D_
_x000D_
*   For example, let `words = [ ""a "", ""app "", ""ap ""]`. The string `""app ""` has prefixes `""ap ""` and `""a ""`, all of which are in `words`._x000D_
_x000D_
Return _the string described above. If there is more than one string with the same length, return the **lexicographically smallest** one, and if no string exists, return_ `"" ""`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** words = \[ ""k "", ""ki "", ""kir "", ""kira "",  ""kiran ""\]_x000D_
**Output:**  ""kiran ""_x000D_
**Explanation:**  ""kiran "" has prefixes  ""kira "",  ""kir "",  ""ki "", and  ""k "", and all of them appear in words._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** words = \[ ""a "",  ""banana "",  ""app "",  ""appl "",  ""ap "",  ""apply "",  ""apple ""\]_x000D_
**Output:**  ""apple ""_x000D_
**Explanation:** Both  ""apple "" and  ""apply "" have all their prefixes in words._x000D_
However,  ""apple "" is lexicographically smaller, so we return that._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** words = \[ ""abc "",  ""bc "",  ""ab "",  ""qwe ""\]_x000D_
**Output:**  "" ""_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= words.length <= 105`_x000D_
*   `1 <= words[i].length <= 105`_x000D_
*   `1 <= sum(words[i].length) <= 105`"
"1859","sorting-the-sentence","Sorting the Sentence","Easy","A **sentence** is a list of words that are separated by a single space with no leading or trailing spaces. Each word consists of lowercase and uppercase English letters._x000D_
_x000D_
A sentence can be **shuffled** by appending the **1-indexed word position** to each word then rearranging the words in the sentence._x000D_
_x000D_
*   For example, the sentence `""This is a sentence ""` can be shuffled as `""sentence4 a3 is2 This1 ""` or `""is2 sentence4 This1 a3 ""`._x000D_
_x000D_
Given a **shuffled sentence** `s` containing no more than `9` words, reconstruct and return _the original sentence_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""is2 sentence4 This1 a3 ""_x000D_
**Output:**  ""This is a sentence ""_x000D_
**Explanation:** Sort the words in s to their original positions  ""This1 is2 a3 sentence4 "", then remove the numbers._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""Myself2 Me1 I4 and3 ""_x000D_
**Output:**  ""Me Myself and I ""_x000D_
**Explanation:** Sort the words in s to their original positions  ""Me1 Myself2 and3 I4 "", then remove the numbers._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= s.length <= 200`_x000D_
*   `s` consists of lowercase and uppercase English letters, spaces, and digits from `1` to `9`._x000D_
*   The number of words in `s` is between `1` and `9`._x000D_
*   The words in `s` are separated by a single space._x000D_
*   `s` contains no leading or trailing spaces._x000D_
_x000D_
1\. All characters in a are strictly less than those in b (i.e., a\[i\] < b\[i\] for all i). 2. All characters in b are strictly less than those in a (i.e., a\[i\] > b\[i\] for all i). 3. All characters in a and b are the same (i.e., a\[i\] = b\[i\] for all i)."
